nombre_pdv;zona;planta_autorizada
Domicilios 02;Domicilios Villas;5
Domicilios 3;Domicilios 3;5
Home 01;El Retiro;7
Home 02;Zona G;8
Home 03;Museo Nacional;6
Home 04;Cra 19 con 118;13
Home 05;CC Gran Estación;8
Home 06;CC San Roque;7
Home 07;Usaquen ;8
Home 08;Salvio;10
Home 09;Movistar Arena;6
Home 10;CC Parque Colina;6
Home 11;Cedritos;17
Home 12;CC Bazaar 80;5
Home 13;CC Santa Fe;5
Home 14;CC Plaza Central;5
Home 15;Aeropuerto;9
Home 16;Fondo Cultura Economica;6
Home 17;CC Nuestro Bogotá;5
Home 18;CC Unicentro ;7
Home 19;CC Plaza Mayor;0
Home 20;CC Plaza Claro;5
Home 21;Galerias;6
Home 22;CC Multiplaza;5
Home 23;CC Mallplaza Calima;5
Home 24;San Rafael ;6
Home 25;CC Centro Mayor;6
Home 26;CC Fontanar;5
Home Cartagena 1;Home Cartagena 1;5
Home Cartagena 2;Centro Historico;5
Home Medellin 01;One Plaza;5
Home Medellin 02;Poblado;6
Home Medellin 03;CC Viva Envigado;5
Home Medellin 04;Laureles;5
Home Medellin 06;CC Mall Del Este;5
Home medellin 05;CC Santa Fe Medellin ;7
Home 27;Floresta;5
Home 30;109;5
